Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 60+All,-0.09502717,0.03445972,0.909348227,0.849958103,0.972888,-0.56963066,0.26335515,0.944628958,0.897106517,0.994669,0.01752211,0.003886534,1.251425133,1.135164578,1.379593,-0.008312551,0.003965941,0.947402186,0.900722851,0.996501
Age 60+ Female,-0.09219069,0.03830883,0.911931237,0.845966095,0.983040,-0.4672889,0.2937174,0.954346095,0.900957222,1.010899,0.017253964,0.004309043,1.247137268,1.119346988,1.389517,-0.008673202,0.004444413,0.945183857,0.893152773,1.000246
Age 60+ Male,-0.09567368,0.04281296,0.908760514,0.835615181,0.988309,-0.69040071,0.32455872,0.933289281,0.875768423,0.994588,0.018226377,0.004852354,1.262757252,1.1180228,1.426228,-0.00729947,0.00485815,0.95366144,0.896426131,1.014551
All: LAG 3,-0.04843214,0.02282211,0.952721989,0.911044555,0.996306,-0.38441946,0.1796197,0.962287568,0.928999195,0.996769,0.0107429,0.00270472,1.14741217,1.072136198,1.227973,-0.003887106,0.002752024,0.97505033,0.941456651,1.009843
Female,-0.04519305,0.02497451,0.955812944,0.91015252,1.003764,-0.3156002,0.1952627,0.968932799,0.932550933,1.006734,0.010152987,0.002939837,1.13878082,1.057813036,1.225946,-0.005122278,0.003005787,0.967253364,0.930913857,1.005011
Male,-0.05212369,0.02608191,0.949211452,0.901906671,0.998997,-0.46293876,0.20676292,0.95476134,0.916842655,0.994248,0.011433623,0.003122189,1.157601711,1.070387676,1.251922,-0.002519254,0.003150066,0.983758193,0.945059877,1.024041
Warm All,-0.02305913,0.02130919,0.9772047,0.937231331,1.018883,0.4056375,0.24140665,1.041397697,0.99327079,1.091856,-0.003648195,0.002296868,0.954376629,0.900936302,1.010987,-0.004306725,0.00322315,0.972394481,0.933273815,1.013155
Warm Female,-0.01453954,0.02691688,0.985565649,0.93491784,1.038957,0.384716,0.304628,1.039221214,0.978988397,1.103160,-0.00080125,0.002886515,0.989796413,0.920652254,1.064134,-0.00508598,0.004077562,0.967481602,0.918505846,1.019069
Warm Male,-0.03209844,0.02733141,0.968411247,0.91789892,1.021703,0.4363359,0.3096654,1.044599533,0.983083883,1.109964,-0.006790057,0.002965432,0.916757098,0.851028648,0.987562,-0.003485193,0.004127375,0.977600915,0.92752409,1.030381
Cold All,-0.05507736,0.02350093,0.946411931,0.90380723,0.991025,-0.48621458,0.17129911,0.952541638,0.92109133,0.985066,0.0165505,0.002850046,1.235958027,1.150670074,1.327568,-0.004193666,0.002680624,0.97310934,0.940437601,1.006916
Cold Female,-0.04970806,0.02466493,0.951507167,0.906602373,0.998636,-0.39716714,0.17906977,0.961061656,0.927915702,0.995392,0.0145935,0.002976546,1.205382326,1.118648448,1.298841,-0.005361595,0.002812318,0.965749913,0.931760661,1.000979
Cold Male,-0.06180499,0.02609664,0.940066191,0.893191385,0.989401,-0.591522388,0.191100352,0.942563264,0.907911922,0.978537,0.01888036,0.003194598,1.273372138,1.175298941,1.379629,-0.002925904,0.0029769,0.981161332,0.944646891,1.019087
Age 0-10 All,-0.03398164,0.03484813,0.966589251,0.90277315,1.034916,-0.68073332,0.27639505,0.934191965,0.884929975,0.986196,0.010381931,0.004421867,1.142122892,1.022195656,1.276120,0.000579562,0.004345367,1.003774258,0.949715491,1.060910
Age 0-10 Female,-0.03818367,0.03974006,0.962536136,0.890409164,1.040506,-0.831360164,0.312934518,0.920225973,0.865479854,0.978435,0.0147807,0.004987798,1.208274079,1.066155389,1.369337,-0.000966591,0.004904822,0.993736854,0.933541114,1.057814
Age 0-10 Male,-0.03077642,0.03776004,0.969692353,0.900517124,1.044181,-0.55965008,0.3014434,0.945572223,0.891323436,1.003123,0.006880252,0.004843171,1.092061534,0.96711463,1.233151,0.001811801,0.004745984,1.011846325,0.952479086,1.074914
Age 11-60 All,-0.04040244,0.02331276,0.960402857,0.917506651,1.005305,-0.2578143,0.1839102,0.974548073,0.940044721,1.010318,0.010075607,0.002743665,1.137653457,1.061979588,1.218720,-0.003273494,0.002809777,0.978947062,0.944523917,1.014625
Age 11-60 Female,-0.03179821,0.02628724,0.968702037,0.920055578,1.019921,-0.1698399,0.2058096,0.983159425,0.944289325,1.023630,0.00847103,0.00308556,1.114525979,1.031504746,1.204229,-0.004328086,0.003169338,0.972259477,0.933784192,1.012320
Age 11-60 Male,-0.05092859,0.02742749,0.950346532,0.900606845,1.002833,-0.36841474,0.21833398,0.963828915,0.923453406,1.005970,0.012026449,0.00324588,1.166419205,1.07519916,1.265378,-0.002097805,0.003302501,0.986456813,0.945813765,1.028846
Age 60+All,-0.119633932,0.034727093,0.887245169,0.828864129,0.949738,-0.62999319,0.26436983,0.938944113,0.891530344,0.988879,0.015891491,0.003923521,1.22557618,1.110685942,1.352351,-0.013160597,0.003981945,0.918012859,0.872603629,0.965785
Age 60+ Female,-0.123643094,0.038723646,0.883695181,0.819106276,0.953377,-0.50959151,0.29675905,0.950317489,0.896619297,1.007232,0.015324674,0.004354562,1.216716488,1.09079695,1.357172,-0.013145214,0.004487032,0.918104656,0.867093315,0.972117
